time,hazard,n_censor,n_event,group
5331,0.00968420475635838,34,0,Q3
5333,0.00968420475635838,16,0,Q3
5334,0.00968420475635838,52,0,Q3
5335,0.00968420475635838,55,0,Q3
5336,0.00968420475635838,40,0,Q3
5337,0.00968420475635838,46,0,Q3
5338,0.00968420475635838,32,0,Q3
5340,0.00968420475635838,36,0,Q3
5341,0.00968420475635838,42,0,Q3
5342,0.00968420475635838,53,0,Q3
5343,0.00968420475635838,59,0,Q3
5344,0.00968420475635838,42,0,Q3
5345,0.00968420475635838,36,0,Q3
5347,0.00968420475635838,40,0,Q3
5348,0.00968420475635838,40,0,Q3
5349,0.00968420475635838,48,0,Q3
5350,0.00968420475635838,31,0,Q3
5351,0.00968420475635838,58,0,Q3
5352,0.00968420475635838,43,0,Q3
5356,0.00968420475635838,1,0,Q3
5357,0.00968420475635838,1,0,Q3
5358,0.00968420475635838,1,0,Q3
5368,0.00968420475635838,44,0,Q3
5369,0.00968420475635838,78,0,Q3
5370,0.00968420475635838,64,0,Q3
5371,0.00968420475635838,72,0,Q3
5372,0.00968420475635838,66,0,Q3
5373,0.00968420475635838,66,0,Q3
5375,0.00968420475635838,65,0,Q3
5376,0.00968420475635838,61,0,Q3
5377,0.00968420475635838,59,0,Q3
5378,0.00968420475635838,66,0,Q3
5379,0.00968420475635838,65,0,Q3
5380,0.00968420475635838,60,0,Q3
5381,0.00968420475635838,1,0,Q3
5382,0.00968420475635838,58,0,Q3
5383,0.00968420475635838,76,0,Q3
5384,0.00968420475635838,61,0,Q3
5385,0.00968420475635838,58,0,Q3
5386,0.00968420475635838,76,0,Q3
5387,0.00968420475635838,56,0,Q3
5388,0.00968420475635838,1,0,Q3
5389,0.00968420475635838,49,0,Q3
5390,0.00968420475635838,79,0,Q3
5391,0.00968420475635838,41,0,Q3
5392,0.00968420475635838,64,0,Q3
5393,0.00968420475635838,63,0,Q3
5394,0.00968420475635838,82,0,Q3
5396,0.00968420475635838,38,0,Q3
5397,0.00968420475635838,71,0,Q3
5398,0.00968420475635838,53,0,Q3
5399,0.00968420475635838,79,0,Q3
5400,0.00968420475635838,81,0,Q3
5401,0.00968420475635838,56,0,Q3
5403,0.00968420475635838,44,0,Q3
5404,0.00968420475635838,68,0,Q3
5405,0.00968420475635838,61,0,Q3
5406,0.00968420475635838,64,0,Q3
5407,0.00968420475635838,90,0,Q3
5408,0.00968420475635838,68,0,Q3
5410,0.00968420475635838,54,0,Q3
5411,0.00968420475635838,80,0,Q3
5412,0.00968420475635838,52,0,Q3
5413,0.00968420475635838,44,0,Q3
5414,0.00968420475635838,73,0,Q3
5415,0.00968420475635838,83,0,Q3
5417,0.00968420475635838,56,0,Q3
5418,0.00968420475635838,43,0,Q3
5419,0.00968420475635838,70,0,Q3
5420,0.00968420475635838,73,0,Q3
5421,0.00968420475635838,70,0,Q3
5422,0.00968420475635838,66,0,Q3
5424,0.00968420475635838,55,0,Q3
5425,0.00968420475635838,62,0,Q3
5426,0.00968420475635838,63,0,Q3
5427,0.00968420475635838,65,0,Q3
5428,0.00968420475635838,64,0,Q3
5429,0.00968420475635838,53,0,Q3
5431,0.00968420475635838,63,0,Q3
5432,0.00968420475635838,56,0,Q3
5433,0.00968420475635838,75,0,Q3
5434,0.00968420475635838,71,0,Q3
5435,0.00968420475635838,64,0,Q3
5436,0.00968420475635838,65,0,Q3
5438,0.00968420475635838,50,0,Q3
5439,0.00968420475635838,53,0,Q3
5440,0.00968420475635838,82,0,Q3
5441,0.00968420475635838,59,0,Q3
5442,0.00968420475635838,74,0,Q3
5443,0.00968420475635838,58,0,Q3
5445,0.00968420475635838,68,0,Q3
5446,0.00968420475635838,50,0,Q3
5447,0.00968420475635838,63,0,Q3
5448,0.00968420475635838,61,0,Q3
5449,0.00968420475635838,72,0,Q3
5450,0.00968420475635838,69,0,Q3
5452,0.00968420475635838,35,0,Q3
5453,0.00968420475635838,51,0,Q3
5454,0.00968420475635838,46,0,Q3
5455,0.00968420475635838,71,0,Q3
5456,0.00968420475635838,56,0,Q3
5457,0.00968420475635838,53,0,Q3
5459,0.00968420475635838,39,0,Q3
5460,0.00968420475635838,65,0,Q3
5461,0.00968420475635838,75,0,Q3
5462,0.00968420475635838,54,0,Q3
5463,0.00968420475635838,58,0,Q3
5464,0.00968420475635838,48,0,Q3
5466,0.00968420475635838,49,0,Q3
5467,0.00968420475635838,29,0,Q3
5468,0.00968420475635838,60,0,Q3
5469,0.00968420475635838,75,0,Q3
5470,0.00968420475635838,83,0,Q3
5471,0.00968420475635838,63,0,Q3
5473,0.00968420475635838,50,0,Q3
5474,0.00968420475635838,47,0,Q3
5475,0.00968420475635838,65,0,Q3
